title,description,location,requirements,published,views,replies,english_level,years_of_experience
Str.Middle/Senior Python Developer,"Looking for an experienced Python engineer who is proficient with Python, Postgres, SQL. The project is a high performance web application to view and analyze domain specific data. A commitment to collaborative problem solving, sophisticated design, and quality products are important. A stable long term project, growing customer base, small team fun to work with.","Україна,Польща,Німеччина,Сполучені,Штати","SQL,PYTHON",9 січня 2024,5,1,Beginner/Elementary,5
Senior Python Developer_Competency Lead,Not specified,Україна,"PYTHON,AWS,REST,FAST,DJANGO",9 січня 2024,13,0,Upper-Intermediate,5
Middle Python Software Engineer (Prom.ua),Not specified,Україна,"PYTHON,KUBERNETES,CI/CD,CSS,POSTGRESQL,ELASTICSEARCH",8 січня 2024,154,11,,3
Python/Django developer,Not specified,Україна,"REST,REACT,JAVASCRIPT,CELERY,VUE.JS,POSTGRESQL,ELASTICSEARCH,DJANGO,OOP,GIT",9 січня 2024,348,139,Upper-Intermediate,1
Back-End Python (Django) Developer,We are seeking an experienced Python Developer to join our development team and contribute to the enhancement of our backend systems.,Україна,"DEVELOPER,PYTHON,ANGULAR,CI/CD",8 січня 2024,108,38,Upper-Intermediate,5
Python Engineer,"Lemberg Solutions is, above all, a group of passionate professionals led by a core team that have been meticulously selected over the last 15 years. We are based in Lviv, Rivne, and Lutsk, and opened GmbH in Hamburg, Germany.","Релокейт,Україна","PYTHON,AWS,REST,FASTAPI,DJANGO",9 січня 2024,33,9,Intermediate,3
Middle/ Middle+ Back-end Python Developer,"Gradus – це продуктова компанія, а це означає:",Україна,REST,9 січня 2024,56,19,Upper-Intermediate,3
Junior Python Verification Engineer,"We invite a skilled Firmware Python Verification Engineer with up to 2 years of experience in Quality Assurance and Python programming language to join PLVision. In this role, you will ensure the quality and reliability of our customers' products. You will work closely with hardware engineers to ensure seamless integration between firmware and networking equipment.",Україна,"LINUX,PYTHON",9 січня 2024,42,5,Intermediate,3
Middle Python Developer,Not specified,Україна,"SQL,ANGULAR,PYTHON,DJANGO",9 січня 2024,87,18,Upper-Intermediate,2
Automation QA Middle (Python) Engineer,"Perimeter 81 is expanding team for development cybersecurity and SaaS platform. All solutions allows companies manage networks and security from single cloud. You will be part of multi-national distributed team responsible for developing next-generation full stack projects integrated with AWS, Google Cloud, Microsoft Azure, Heroku, SalesForce and Splunk.",Україна,"PYTHON,KUBERNETES,AWS,AIRFLOW,MONGODB,GATLING",9 січня 2024,28,7,Upper-Intermediate,3
Senior Django Developer,Not specified,Україна,"DEVELOPER,DJANGO,REST",9 січня 2024,57,22,,3
Performance engineer (Singapore),Not specified,Сінгапур,"FAST,AWS",9 січня 2024,5,1,Upper-Intermediate,5
QA Automation Engineer,"We invite a Quality Assurance (QA) Automation Engineer with 2+ years of commercial experience in embedded software validation and test automation to join new PLVision’s project for one of the leaders in the networking industry. In this role, you will validate new DASH functionality for modern Data Processing Unit (DPU)/ Intelligence Processing Unit (IPU) systems and collaborate in open-source communities.",Україна,"LINUX,PYTHON,JENKINS",9 січня 2024,33,4,Intermediate,3
Full-Stack Developer (Python (Django) + React.js),"Our project helps non-profits fundraise more effectively by building software to deliver actionable insights and tailored recommendations for donor engagement by integrating data from multiple CRMs, and leveraging GPT4 and Vertex AI and using insights from behavioral science. Join us and help non-profits do more good.",Україна,FAST,9 січня 2024,3,0,Advanced/Fluent,5
Junior Python Developer,"Cosmonova Broadcast - це IT і High Tech для медіа бізнесу. Компанія має доступ до найсильнішої експертизі завдяки своїй команді R & D і IT професіоналів з більш ніж 16-ти річним досвідом. У центрі експертизи та R & D використовуються найсучасніші технології та обладнання, постійно вивчаються і впроваджуються нові рішення, проводяться тести нових протоколів і стандартів, апаратних, програмно-апаратних та інфраструктурних сервісів для різних завдань, в тому числі під великим навантаженням.",Україна,"PYTHON,POSTGRESQL",9 січня 2024,239,52,Pre-Intermediate,1
Senior Python Developer for algorithm development Navigation App,"Working Hours: Part-Time (4 hours per day), possibility for full-time",Німеччина,"RUST,PYTHON,MICROSERVICES,DEVELOPER,AGILE,GIT",7 січня 2024,99,20,Intermediate,5
Python Developer,The Cloud Infrastructure team is looking for a Python Developer to work on our Cloud Infrastructure products.,Україна,"LINUX,DEVELOPER,PYTHON",7 січня 2024,60,3,Upper-Intermediate,3
Senior Python (Computer Vision) Engineer/Poland or Romania,"We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.","Польща,Румунія","SQL,DJANGO,CI/CD,AWS",8 січня 2024,29,3,Upper-Intermediate,5
Senior Python Backend Engineer,Not specified,Україна,"PYTHON,AWS,REST,FAST,DJANGO",8 січня 2024,33,5,Intermediate,5
Django Developer,"Looking for a Django Developer to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you have found the right place to send your CV.","Польща,Словаччина,Словенія,Україна","PYTHON,AWS,DEVELOPER,SQL,DJANGO",8 січня 2024,110,23,Upper-Intermediate,2
Python/Django Developer,"If you want to join a profitable, high-growth Dataforest, where you will be working on a large, complex project with an ongoing, full-time position, then this is THE job for you.",Україна,"SQL,PYTHON,DJANGO,AWS",8 січня 2024,174,33,Upper-Intermediate,2
Bot Developer in the Crypto Sector (Python / Zennoposter),"Шукаю Python/Zennoposter Розробника, який може написати бота для створення гаманців у блокчейні EVMOS (EVM блокчейн на Cosmos), для автоматизації та виконання різноманітних дій скриптом.",Україна,PYTHON,8 січня 2024,87,13,Pre-Intermediate,2
Python Developer (Разработчик бота у криптосередовищі),"Шукаю Python/Zennoposter Розробника, який може написати бота для створення гаманців у блокчейні EVMOS (EVM блокчейн на Cosmos), для автоматизації та виконання різноманітних дій скриптом.",Україна,PYTHON,8 січня 2024,121,15,Intermediate,2
Senior Python Developer,Project Description:,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",8 січня 2024,38,10,Upper-Intermediate,3
Python Developer,"Join our team as an experienced Python Developer, where you will take a role in building and optimizing our AWS cloud infrastructure. This position requires hands-on experience with AWS services, proficiency in Python, and a strong background in deploying and managing infrastructure using Terraform.",Україна,"FASTAPI,PYTHON,CI/CD,AWS",8 січня 2024,82,22,Upper-Intermediate,3
Python Engineer with AI (Computer Vision),"We are a pioneer in the field of Enhanced Sensory AI, and we are proud to say that we have transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.","Польща,Румунія","PYTHON,AWS,CELERY,SQL,DJANGO",8 січня 2024,6,2,Upper-Intermediate,5
Data and Machine Learning Engineer (Python),"We are, Softwarium — Ukrainian outsourcing IT-company. We have been developing software for American, Canadian, and Norwegian clients in the education, healthcare, energy, and security industries for over 20 years.",Україна,"GITHUB,PYTHON,AWS,REST",8 січня 2024,33,7,Intermediate,5
AI Developer,"Devico is a hard-working and tight-knit team with first-rate experience in full-cycle Web and Mobile development. We help our global customers by providing hard-to-find technology resources for software development, QA, UI/UX, and product. By building our experience over the past 13 years, we have particular strengths in mobile app development, bespoke software platforms and test automation, and technologies including JavaScript and its multitude of frameworks, Java, Python, .Net, etc.",Україна,"PYTHON,DEVELOPER,FAST,JAVASCRIPT,AGILE",8 січня 2024,42,5,Upper-Intermediate,5
Senior Python Engineer,Not specified,Україна,"GITHUB,FASTAPI,DJANGO",8 січня 2024,38,3,Upper-Intermediate,5
Senior/Lead Python Software Engineer,We are inviting a Senior/Lead Python Software Engineer to join our team.,Україна,"POSTGRESQL,PYTHON,CI/CD,KUBERNETES",4 січня 2024,16,1,Upper-Intermediate,5
Python Backend Engineer (Outstaff project),"As a backend engineer of our client’s team, you will build the foundation for a seamless and stable TV experience for millions of TV lovers, which involves quite sophisticated engineering and architecting to bring what used to be broadcast into the personalized world of the internet. The backend engineers team tackle this challenge every day by using the latest standards in software design and development and by constantly improving processes and tools. They do all that with a strong focus on scalability, distribution, efficiency and maintainability.",Україна,"FASTAPI,ANDROID,GOLANG,GRAPHQL",4 січня 2024,56,5,Upper-Intermediate,5
Senior MLOps Engineer,Required skills,Україна,"RUBY,PYTHON,AWS,SCALA,JAVA,JENKINS",4 січня 2024,41,2,Upper-Intermediate,5
Senior Back-End Engineer (Experimentation),"At Preply, we are unlocking human potential through learning.","Релокейт,Іспанія,Україна","DJANGO,CI/CD",4 січня 2024,43,3,Upper-Intermediate,5
Reef Technologies Senior Python Backend Engineer,"We’re about to convince you that you need a new job… and that you’ve just found the perfect opportunity. We’re steadily growing, and we’re continuously looking to expand our team with experienced Python engineers.",Польща,"PYTHON,EXPRESS",4 січня 2024,137,10,Upper-Intermediate,5
Integration Developer  (Poland),Not specified,Польща,"PYTHON,MICROSERVICES,DEVELOPER,FAST,SQL",4 січня 2024,44,3,Upper-Intermediate,5
Junior Python Developer,Are you a skilled Junior Python Developer eager to contribute to the development of an AI-powered automated trading platform? We're waiting for you to join our Development Team!,Україна,"SQL,DEVELOPER,PYTHON,PYTEST",4 січня 2024,715,221,Upper-Intermediate,1
Senior Python(Django) Developer,"Quintagroup is looking for Senior Python developer to join the development team of IoT solutions. Technology stack: Python, Django, AWS. You will work in the leading European company specializing in the production of cutting-edge solar panels and IoT solutions. They are dedicated to creating innovative projects that harness the power of data to drive sustainable energy solutions.",Україна,"DEVELOPER,PYTHON,DJANGO,AWS",5 січня 2024,62,15,Upper-Intermediate,3
Back-End Engineer (Python),"At Preply, we are unlocking human potential through learning.","Релокейт,Іспанія,Україна",CI/CD,4 січня 2024,96,4,Upper-Intermediate,5
Python Engineer,About our client,Україна,"PYTHON,AWS,REST,CELERY,AGILE",5 січня 2024,112,30,Upper-Intermediate,3
Fullstack Engineer,Our ideal candidate has…,Філіппіни,"PYTHON,ANGULAR,DEVELOPER,SQL,DJANGO",6 січня 2024,101,5,,5
Python developer,"Our customer is a cutting-edge technology company focused on leveraging AI technology to automatically identify 3D objects from aerial imagery and create worldwide property databases. As we continue to grow, we are seeking a talented and experienced",Україна,"PYTHON,REST,FASTAPI,CI/CD,POSTGRESQL",5 січня 2024,53,2,Upper-Intermediate,5
Middle Python Developer,"MB Digital is an innovative software development firm with a sharp focus on crafting sophisticated Web and App solutions, alongside providing comprehensive staff augmentation services.",Україна,"DEVELOPER,PYTHON,GIT,REST",5 січня 2024,95,37,Intermediate,2
LLM Specialist with Python Knowledge,Not specified,Україна,"DEVELOPER,PYTHON",5 січня 2024,141,21,,1
python developer for algorithmic trading project,"Ми українська продуктова компанія NATS, заснована у 2021 році. Займаємось алгоритмічним хедж-фондом, алготрейдингом. Алгоритмічний хедж-фонд - це інвестиційний фонд, який використовує складні математичні моделі та алгоритми, щоб приймати рішення про купівлю та продаж активів. Ми використовуємо  велику кількість даних, щоб відслідковувати тенденції на ринку та використовувати їх для прийняття рішень. Так, з нами буде цікаво :)",Україна,,3 січня 2024,131,40,Intermediate,3
Backend Developer (Python),"On behalf of Atlas Invest, SD Solutions is looking for a talented Back-End Developer to join our fast-paced team and contribute to the development of the future of real estate backed loans.",Україна,"DEVELOPER,PYTHON",3 січня 2024,88,16,Upper-Intermediate,3
AI Python Developer,"Ми українська аутсорс компанія Join.To.IT, створюємо програмні рішення у різних сферах бізнесу понад 10 років.",Україна,PYTHON,3 січня 2024,72,8,Upper-Intermediate,2
Tech/Team Lead (Python),Quantum is a global technology partner delivering high-end software products that address real-world problems.,"Релокейт,Україна","SQL,PYTHON,MICROSERVICES",3 січня 2024,37,6,Upper-Intermediate,5
Backend (Python) Software Engineer,Not specified,"Польща,Україна","SQL,JAVA,JAVASCRIPT",3 січня 2024,192,16,,3
Strong Junior Python Developer (scraping),Not specified,Україна,"LINUX,REDIS,PYTHON",3 січня 2024,321,113,Intermediate,1
Python (Django) Developer,"We seek a highly motivated and experienced Python Developer to join our growing team. You will be responsible for designing, developing, and maintaining complex software solutions in Python. You will work closely with the development team to ensure timely delivery of high-quality software products.",Україна,"PYTHON,REST,DEVELOPER,GRAPHQL,AGILE,DJANGO",3 січня 2024,170,31,Upper-Intermediate,3
Middle Java Developer на long-term проект розробки інноваційного продукту,Ми розробляємо і підтримуємо інноваційним продукт для клієнта з Швейцарії. Хочемо залучити до участі у проекті remote full-time Java розробника із досвідом роботи від 3-х років.,Україна,JAVA,3 січня 2024,375,139,Upper-Intermediate,3
Senior Backend Engineer (Python),Not specified,Україна,"K8S,PYTHON,DJANGO,SELENIUM",4 січня 2024,47,12,Upper-Intermediate,5
Python Engineer,Hey guys 👋,Україна,PYTHON,3 січня 2024,28,3,Upper-Intermediate,5
Senior Python BackEnd Engineer,Наш клієнт –,Україна,"LINUX,PYTHON",4 січня 2024,31,4,Intermediate,5
Middle Python Engineer (BI),Descriptio,"Албанія,Вірменія,Болгарія,Грузія,Україна","PYTHON,FASTAPI,SQL,POSTGRESQL,GIT",4 січня 2024,164,41,Upper-Intermediate,3
Senior Python Engineer (Integrations),"Teramind is a hybrid, global workforce building the next-generation Insider Risk Management and User Behavior Analytics platform.","Вірменія,Грузія,Польща,Україна","PYTHON,FASTAPI,DEVELOPER,SQL,DJANGO",4 січня 2024,60,13,Upper-Intermediate,5
ML/CV Engineer,Samsung R&D Institute Ukraine is looking for a passionate and collaborative ML/CV Engineer to join our team in Kyiv.,"Релокейт,Україна",,2 січня 2024,26,2,Intermediate,3
Senior Python Developer,"Numerical Technologies is a leading provider of custom software solutions and services specializing in risk, limits, and regulatory capital.","Польща,Португалія,Україна","FASTAPI,DEVELOPER,AGILE,PYTHON",2 січня 2024,26,9,Upper-Intermediate,5
Backend Python Engineer,"We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.",Польща,"SQL,DJANGO,CI/CD,AWS",2 січня 2024,32,2,Upper-Intermediate,5
Open Omniverse UI / Extension developer,Not specified,Україна,,29 грудня 2023,58,3,Upper-Intermediate,5
Fullstack Python/React Developer,Build the most meaningful apps on the latest web technologies!,"Релокейт,Польща,Україна","PYTHON,AWS,LINUX,DEVELOPER,REACT,CI/CD,JEST,AGILE",29 грудня 2023,83,4,Intermediate,3
Software Engineer (Python/Golang),"QIT Software is looking for a Software Engineer to the product from the US. We are building a no / low code SaaS platform to create AI apps and bots that are easy to create, manage and share from with in the UI. The platform will make recommendations on cost optimizations, help audit and trace the AI bots/app’s interaction with its users.",Україна,"RUST,PYTHON,KUBERNETES,DEVELOPER,GOLANG,POSTGRESQL,AGILE,FLASK",29 грудня 2023,275,51,Upper-Intermediate,3
"Python Developers (Permanent/ requires relocation to Dubai, UAE)","Looking for an experienced Python developer who will be focused on the development of the server-side logic of a web application, ensuring its high performance, maintainability and quality.","Релокейт,Обʼєднані,Арабські,Емірати","DEVELOPER,PYTHON",2 січня 2024,114,18,,5
"Python Engineer (Poland, Romania)","We are a pioneer in the field of Enhanced Sensory AI, and are proud to say that we have transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.","Польща,Румунія","AWS,CELERY,CI/CD,SQL,DJANGO",2 січня 2024,13,3,Upper-Intermediate,5
Senior BE Python Developer,We are looking for a Senior BE Python Developer.,Україна,"FAST,PYTHON",2 січня 2024,48,9,Upper-Intermediate,5
Python Developer (Senior),Not specified,Україна,"DEVELOPER,PYTHON,CI/CD",2 січня 2024,91,17,Intermediate,3
Middle Python Developer,Middle Python Developer for Night Support (Long-term),Україна,"DEVELOPER,PYTHON",2 січня 2024,137,31,Upper-Intermediate,3
Senior Python Developer,We are looking for a Senior Python developer for remote work in our worldwide team. We need someone who wants to take part in something big and assume responsibility for the success of a new and innovative e-commerce project.,Україна,"PYTHON,KUBERNETES,MYSQL,DEVELOPER,FASTAPI,MONGODB,FLASK",2 січня 2024,68,17,Intermediate,3
Python Developer,We are seeking an experienced Backend Developer with a strong focus on Python and DevOps skills: Kubernetes and Docker.,Україна,"DEVELOPER,PYTHON,CI/CD,KUBERNETES",2 січня 2024,74,10,Upper-Intermediate,3
Python developer / middle,Not specified,Україна,PYTHON,2 січня 2024,82,8,Pre-Intermediate,3
Middle Python developer,Not specified,Україна,"LINUX,PYTHON",27 грудня 2023,237,45,Upper-Intermediate,2
Full-stack Developer (Python + Vue),Not specified,Україна,"SQL,AWS,REST",28 грудня 2023,39,2,Upper-Intermediate,3
Python developer for global product (audit and assurance company BIG FOUR),"Deloitte is looking for professional engineers to join our new automotive project: optimization of the clients’ orders based on business rules and previous orders’ history, including data analysis and machine learning.",Україна,"PYTHON,KUBERNETES,REST,LINUX,MYSQL,CI/CD,MONGODB,POSTGRESQL,GIT",28 грудня 2023,45,2,Advanced/Fluent,3
Full-stack Developer (Python + Vue),Not specified,Україна,"SQL,AWS,REST",27 грудня 2023,14,3,Upper-Intermediate,5
Middle/Senior Python+JS developer,We are currently seeking a developer for a long-term collaboration from Ukraine and Europe. Our company is engaged in various projects that require skilled and dedicated individuals to contribute their expertise.,Україна,"DEVELOPER,FAST,JAVASCRIPT",28 грудня 2023,98,26,Upper-Intermediate,3
Senior Python Developer,В продуктову команду (blockchain розробка) запрошуємо Python Developer з досвідом роботи 2+ роки.,Україна,"PYTHON,REST,DEVELOPER,MONGODB,DJANGO",28 грудня 2023,125,25,Pre-Intermediate,2
Python Developer,Python Developer (Remote),"Сполучені,Штати","PYTHON,DEVELOPER,JAVASCRIPT,GITHUB,DJANGO",27 грудня 2023,329,104,Intermediate,3
Python Developer,"Infingame is extending an invitation to accomplished professionals to become an integral part of our dynamic company as a Python Developer. We are on the lookout for motivated individuals ready to join our team. Your contribution will be instrumental in delivering our top-notch products and services, collaborating with some of the most professional minds in the industry, driving your continued growth and development.",Словаччина,"PYTHON,KUBERNETES",28 грудня 2023,40,8,Intermediate,3
Senior/Principal Python Developer,"We are looking for a Senior Python Developer to join the AdTech project that helps publishers control Ad traffic revenue. Together, we will use a unique approach to identify winning strategies quickly and scale them efficiently.","Болгарія,Чехія,Угорщина,Польща,Словаччина","PYTHON,AWS,DEVELOPER,JAVASCRIPT,SQL",29 грудня 2023,17,3,Upper-Intermediate,5
Python developer,"Education Studios - проект, що поєднує освіту та геймінг.",Україна,"PYTHON,DJANGO,REST",29 грудня 2023,90,17,,3
Python Developer,"Ми – українська аутсорсингова компанія Join.To.IT, більше 10 років створюємо програмні рішення в різних сферах бізнесу. Наша команда складається з досвідчених професіоналів, які захоплені своєю справою, поділяють спільні цінності та прагнуть до кращого результату.",Україна,PYTHON,28 грудня 2023,83,12,Upper-Intermediate,3
Lead Backend Engineer (Python),До команди MEGOGO шукаємо Tech Lead'a для розробки нового продукту.,Україна,"PYTHON,CI/CD,MONGODB,ANDROID,AGILE",28 грудня 2023,65,2,Intermediate,5
SENIOR or LEAD Python developer,• Are you an ambitious developer with expertise in,Латвія,"DEVELOPER,CI/CD",29 грудня 2023,19,1,Advanced/Fluent,5
AI DEVELOPER (Construction and Business Operations),Not specified,Латвія,,29 грудня 2023,24,0,Advanced/Fluent,5
Senior Python Engineer,Description:,Україна,"PYTHON,AGILE",29 грудня 2023,41,3,Upper-Intermediate,5
Data Engineer (Python),Not specified,"Чехія,Україна","PYTHON,LINUX,JAVASCRIPT,SQL,DJANGO",24 грудня 2023,181,45,Intermediate,3
Python Tech Lead (Automation team),"Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це понад 70 пристроїв, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.",Україна,"ANDROID,PYTHON,REST",26 грудня 2023,32,3,Pre-Intermediate,5
Full Stack Developer (Python),"We are looking for a skilled Full Stack Developer with a robust background in Python and experience with Django and Zappa for backend development. While proficiency in Flutter for front-end development is a significant advantage, candidates with experience in React TypeScript or Angular TypeScript are also highly encouraged to apply.","Іспанія,Україна,Узбекистан","PYTHON,ANGULAR,AWS,DEVELOPER,REACT,DJANGO",23 грудня 2023,227,9,Upper-Intermediate,5
Python (Django) Engineer,We are,Україна,"PYTHON,AWS,REST,GRAPHQL,DJANGO",24 грудня 2023,94,14,Upper-Intermediate,5
FullStack (Python/React.js) Tech Lead,"As a Tech Lead, you will play a pivotal role in guiding our development team to new heights in the field of Learning Management System (LMS) development. If you are enthusiastic about IT education, possess strong leadership skills, and have a proven track record in software development, we invite you to join our collaborative and vibrant team.",Україна,"PYTEST,PYTHON,GITLAB,REST,REACT,GITHUB,DJANGO,GIT",26 грудня 2023,24,1,Upper-Intermediate,5
Python Developer,Valor Software is a software development and consulting company that specializes in advancing and bringing together open-source technologies to achieve technological and business advancement for their customers,Чехія,"PYTHON,FLASK",26 грудня 2023,134,46,Upper-Intermediate,5
python developer with a focus on WebRTC,Location: Remote,Україна,"DEVELOPER,PYTHON",26 грудня 2023,129,24,,2
Python Developer with Murex Experience,A renowned international company specializing in innovative financial services is seeking a Python developer with extensive expertise in the MUREX platform.,"Німеччина,Грузія,Казахстан,Польща,Україна","DEVELOPER,PYTHON",26 грудня 2023,213,46,Upper-Intermediate,2
Computer Vision Algorithms Developer,"Visual Intelligence, a forward-thinking SaaS company, is in search of a Computer Vision Algorithms Developer to join our A-team.",Україна,DEVELOPER,26 грудня 2023,33,0,Upper-Intermediate,5
Python (Django) Developer,"Ми – українська аутсорсингова компанія Join.To.IT, більше 10 років створюємо програмні рішення в різних сферах бізнесу. Наша команда складається з досвідчених професіоналів, які захоплені своєю справою, поділяють спільні цінності та прагнуть до кращого результату.",Україна,PYTHON,26 грудня 2023,69,9,Intermediate,3
Computer Vision Algorithms Developer,"The company is an innovative SaaS enterprise, backed by prominent venture capital, specializing in addressing the heightened demand for improved inventory visibility within the supply chain industry through advanced computer vision technology. Our system excels in delivering nearly real-time tracking and analytics, setting a new benchmark in inventory management and minimizing supply chain discrepancies. Our customized SaaS Business Intelligence solution seamlessly integrates with existing camera infrastructure in logistics facilities. By extracting data from diverse sources, our system provides profound insights, positioning itself as the ultimate source of clarity for inventory and supply chain data. We are committed to reshaping the landscape of supply chain management!",Україна,,26 грудня 2023,103,4,Upper-Intermediate,5
Senior Python Developer,We are looking for a Senior Python Developer for a stable long-term project.,Україна,"DEVELOPER,PYTHON",27 грудня 2023,82,15,Upper-Intermediate,5
Senior Python Engineer (only in Poland),"We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.",Польща,"SQL,DJANGO,CI/CD,AWS",27 грудня 2023,10,0,Advanced/Fluent,5
Middle Python Developer,We are looking for a talented Middle Developer with ETL and database skills.,"Велика,Британія",DEVELOPER,27 грудня 2023,193,12,Pre-Intermediate,2
Computer Vision Algorithms Developer for Visual Intelligence Company,"Full-time, remote, long-term cooperation.","Україна,Польща",,26 грудня 2023,48,2,Upper-Intermediate,5
Senior Python/Django Engineer,Not specified,"Чехія,Нідерланди,Польща,Україна","DJANGO,AWS",21 грудня 2023,163,32,Upper-Intermediate,3
Python Developer,Not specified,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,48,5,Upper-Intermediate,3
Senior Python Developer,Project Description:,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,23,1,Upper-Intermediate,3
Senior Python Developer,Project Description:,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,34,2,Upper-Intermediate,3
Senior Python Developer,Project Description:,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,22,2,Upper-Intermediate,5
Python Developer,One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,96,15,Upper-Intermediate,3
Junior Backend Developer (Python + Django),"We are an innovative and dynamic company leader in its field. We firmly believe that our employees are our greatest asset and invest significant resources in their growth and development. Our unique corporate culture emphasizes creativity, teamwork, and a passion for design. By joining our team, you can contribute to projects that shape the future of our business while developing your professional skills in a supportive and encouraging environment.",Україна,"DEVELOPER,PYTHON,DJANGO",22 грудня 2023,783,165,,1
Senior Python Developer,Project Description:,Україна,"PYTHON,MICROSERVICES,AWS,CI/CD,GRAPHQL,AGILE",21 грудня 2023,43,5,Upper-Intermediate,3
Python developer with DevOps experience,We're looking for a motivated,Україна,"GITHUB,PYTHON,CI/CD",22 грудня 2023,142,26,Upper-Intermediate,2
